flip_angle_(fraction_of_nominal),rf_phase_(deg),extension_of_base_TR_(ms),extension_of_base_TE_(ms)
0.638286,0.000000,2.20,0.00
0.637143,0.000000,2.21,0.00
0.635857,0.000000,2.22,0.00
0.634286,0.000000,2.22,0.00
0.632714,0.000000,2.22,0.00
0.631000,0.000000,2.22,0.00
0.629143,0.000000,2.22,0.00
0.627000,0.000000,2.21,0.00
0.624857,0.000000,2.20,0.00
0.622571,0.000000,2.19,0.00
0.620143,0.000000,2.18,0.00
0.617571,0.000000,2.16,0.00
0.614857,0.000000,2.15,0.00
0.612000,0.000000,2.13,0.00
0.609143,0.000000,2.11,0.00
0.606000,0.000000,2.09,0.00
0.602714,0.000000,2.07,0.00
0.599429,0.000000,2.05,0.00
0.595857,0.000000,2.03,0.00
0.592286,0.000000,2.00,0.00
